"treeID","easting","northing","specID"
"mof_cst_00001",477704.431,5632016.666,"BUR"
"mof_cst_00002",477754.59212,5632039.68833,"BUR"
"mof_cst_00003",476853.88135,5632264.57441,"BUR"
"mof_cst_00004",477295.26246,5631710.35549,"BUR"
"mof_cst_00005",477218.08825,5631769.77102,"BUR"
"mof_cst_00006",477666.59722,5631775.82517,"BUR"
"mof_cst_00007",477114.50993,5632129.33549,"BUR"
"mof_cst_00008",477727.97071,5632374.38621,"BUR"
"mof_cst_00009",477367.39057,5631917.86247,"BUR"
"mof_cst_00010",476833.98599,5632121.08803,"BUR"
"mof_cst_00011",477020.22891,5632075.69162,"BUR"
"mof_cst_00012",477688.22897,5631823.67467,"BUR"
"mof_cst_00013",477559.68276,5632473.23115,"BUR"
"mof_cst_00014",477162.87588,5631634.93626,"BUR"
"mof_cst_00015",477499.52011,5631892.59487,"BUR"
"mof_cst_00016",477136.89991,5631782.91182,"BUR"
"mof_cst_00017",477635.93268,5632477.2859,"BUR"
"mof_cst_00018",477181.14739,5632363.98166,"BUR"
"mof_cst_00019",476765.77891,5632075.10485,"BUR"
"mof_cst_00020",477508.679,5631705.282,"BUR"
"mof_cst_00021",476609.62071,5632149.2019,"BUR"
"mof_cst_00022",477376.57396,5632448.30612,"BUR"
"mof_cst_00023",477334.62387,5632369.30251,"BUR"
"mof_cst_00024",478093.98015,5632160.05663,"BUR"
"mof_cst_00025",477423.17321,5631852.38007,"BUR"
"mof_cst_00026",476982.82094,5631848.06267,"BUR"
"mof_cst_00027",477016.18866,5632383.77617,"BUR"
"mof_cst_00028",477706.86264,5632326.05586,"BUR"
"mof_cst_00029",477423.68779,5632358.29602,"BUR"
"mof_cst_00030",477057.80631,5632609.37974,"BUR"
"mof_cst_00031",477623.5069,5632566.91041,"BUR"
"mof_cst_00032",477266.58204,5631807.70994,"BUR"
"mof_cst_00033",476762.81403,5632237.13098,"BUR"
"mof_cst_00034",477284.7082,5632392.84576,"BUR"
"mof_cst_00035",477261.4109,5632659.61986,"BUR"
"mof_cst_00036",477558.12774,5631814.5592,"BUR"
"mof_cst_00037",477213.34077,5632685.92896,"BUR"
"mof_cst_00038",477481.2058,5632325.65314,"BUR"
"mof_cst_00039",477412.3964,5632051.88873,"BUR"
"mof_cst_00040",476983.23327,5632529.93105,"BUR"
"mof_cst_00041",477934.74796,5632297.0602,"BUR"
"mof_cst_00042",476680.73475,5632080.35575,"BUR"
"mof_cst_00043",477060.42374,5632537.76867,"BUR"
"mof_cst_00044",477736.97767,5631907.35378,"BUR"
"mof_cst_00045",476860.44821,5632311.02936,"BUR"
"mof_cst_00046",477055.07574,5632211.87379,"BUR"
"mof_cst_00047",477222.44204,5631649.99281,"BUR"
"mof_cst_00048",476786.09233,5632191.81079,"BUR"
"mof_cst_00049",477546.2816,5632419.40938,"BUR"
"mof_cst_00050",477818.15129,5632010.30915,"BUR"
